"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1513.1",663,12545,56.763698630137,31.3625,1.80992263467954,6.21016342238683e-74,"KLF15",4.63278191310057e-71
"MA0685.1",605,11965,51.7979452054795,29.9125,1.73164881589568,1.25546956946185e-56,"SP4",4.68290149409271e-54
"MA0079.4",612,12212,52.3972602739726,30.53,1.71625484028734,3.75087493114654e-56,"SP1",7.18170550209336e-54
"MA0746.2",671,14050,57.4486301369863,35.125,1.63554818895335,3.85078043007687e-56,"SP3",7.18170550209336e-54
"MA0740.1",511,9299,43.75,23.2475,1.88192278739649,1.35268707223473e-55,"KLF14",2.01820911177421e-53
"MA0076.2",334,4844,28.5958904109589,12.11,2.36134520321709,1.70461051043726e-53,"ELK4",2.11939906797699e-51
"MA0750.2",373,6121,31.9349315068493,15.3025,2.08690942701188,1.88290082562968e-47,"ZBTB7A",2.00663430845678e-45
"MA1516.1",435,7790,37.2431506849315,19.475,1.91235690294899,8.75617365317295e-47,"KLF3",8.16513193158378e-45
"MA1564.1",687,15347,58.8184931506849,38.3675,1.53302907801355,1.0545182874223e-46,"SP9",8.74078491574487e-45
"MA0765.2",277,3893,23.7157534246575,9.7325,2.43675863597817,7.72506174267496e-46,"ETV5",5.76289606003552e-44
"MA0506.1",385,6772,32.9623287671233,16.93,1.94697748181472,5.43421782556378e-42,"NRF1",3.68538772533689e-40
"MA1650.1",365,6358,31.25,15.895,1.96602705253224,2.62775989121795e-40,"ZBTB14",1.63359073237383e-38
"MA1515.1",620,13862,53.0821917808219,34.655,1.53173255751903,3.34159621145724e-39,"KLF2",1.91756213365161e-37
"MA1517.1",475,9589,40.6678082191781,23.9725,1.69643584186789,1.15108419430764e-37,"KLF6",6.13363434966784e-36
"MA0645.1",291,4815,24.9143835616438,12.0375,2.06973072163189,6.46568501320913e-35,"ETV6",3.21560067990267e-33
"MA0759.1",216,3076,18.4931506849315,7.69,2.4048310383526,3.57669663631302e-34,"ELK3",1.66763480668095e-32
"MA0156.2",207,2890,17.722602739726,7.225,2.45295539650187,7.26993577344535e-34,"FEV",3.19021887470013e-32
"MA1512.1",599,13741,51.2842465753425,34.3525,1.49288251438301,1.45550193938472e-33,"KLF11",6.03224692656113e-32
