"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0506.1",69,7068,39.2045454545455,17.67,2.21870659052323,1.30462220039723e-11,"NRF1",9.73248161496334e-09
"MA1513.1",100,13131,56.8181818181818,32.8275,1.73081050394279,4.93516670742411e-11,"KLF15",1.84081718186919e-08
"MA0746.2",105,14435,59.6590909090909,36.0875,1.65317882671537,1.6369454061687e-10,"SP3",4.07053757667283e-08
"MA0685.1",92,12389,52.2727272727273,30.9725,1.6877141745977,3.27052137347341e-09,"SP4",6.09952236152791e-07
"MA0060.3",44,3913,25,9.7825,2.55558395093279,4.18335203272672e-09,"NFYA",6.24156123282827e-07
"MA0079.4",92,12652,52.2727272727273,31.63,1.65263127640617,1.03787902632108e-08,"SP1",1.29042958939254e-06
"MA1517.1",77,9836,43.75,24.59,1.77917852785685,2.05345220565087e-08,"KLF6",2.18839335059364e-06
"MA1653.1",123,20055,69.8863636363636,50.1375,1.39389406405113,7.84325426953884e-08,"ZNF148",6.75561374875312e-06
"MA1512.1",96,13989,54.5454545454545,34.9725,1.55966701109313,8.1502042545279e-08,"KLF11",6.75561374875312e-06
"MA1650.1",57,6684,32.3863636363636,16.71,1.93814264729884,2.50298169712002e-07,"ZBTB14",1.86722434605154e-05
"MA1515.1",95,14188,53.9772727272727,35.47,1.52177256067868,3.8477371113071e-07,"KLF2",2.60946535003191e-05
"MA1516.1",63,8112,35.7954545454545,20.28,1.76506186121571,1.2605820063289e-06,"KLF3",7.45992070598879e-05
"MA1102.2",76,10642,43.1818181818182,26.605,1.62307153474227,1.44643142956112e-06,"CTCFL",7.45992070598879e-05
"MA0742.1",61,7781,34.6590909090909,19.4525,1.7817293874356,1.49646993651472e-06,"Klf12",7.45992070598879e-05
"MA1564.1",100,15658,56.8181818181818,39.145,1.45147992893554,1.52162426781218e-06,"SP9",7.45992070598879e-05
"MA0741.1",112,18363,63.6363636363636,45.9075,1.38618665003243,1.59998299324156e-06,"KLF16",7.45992070598879e-05
"MA0162.4",90,13577,51.1363636363636,33.9425,1.50655855156113,1.90062136374718e-06,"EGR1",8.3403737491494e-05
"MA1596.1",99,15591,56.25,38.9775,1.44314027323456,2.52405147829746e-06,"ZNF460",0.000104607911267217
"MA1644.1",38,3958,21.5909090909091,9.895,2.18200192934907,3.17764026657845e-06,"NFYC",0.000124764191519343
"MA0740.1",69,9690,39.2045454545455,24.225,1.61835068955812,7.24801032549193e-06,"KLF14",0.000270350785140849
"MA0632.2",42,4783,23.8636363636364,11.9575,1.99570448368274,8.11128688959948e-06,"TCFL5",0.000288143810459105
"MA0146.2",69,9887,39.2045454545455,24.7175,1.5861048024495,1.48724908500972e-05,"Zfx",0.000504312644280569
"MA0732.1",61,8611,34.6590909090909,21.5275,1.60999144857001,4.08617481331952e-05,"EGR3",0.00132534191771146
"MA0599.1",117,20646,66.4772727272727,51.615,1.28794483633193,4.48380010539829e-05,"KLF5",0.00136684898948129
"MA0502.2",38,4452,21.5909090909091,11.13,1.93988401535571,4.5805931282885e-05,"NFYB",0.00136684898948129
"MA1143.1",19,1623,10.7954545454545,4.0575,2.66061726320506,0.000106153551941796,"FOSL1::JUND(var.2)",0.00304579037494538
"MA0604.1",15,1098,8.52272727272727,2.745,3.10481867858917,0.000112949622238392,"Atf1",0.00311257229970623
"MA0131.2",26,2671,14.7727272727273,6.6775,2.21231408052823,0.000116825769962164,"HINFP",0.00311257229970623
"MA1511.1",82,13268,46.5909090909091,33.17,1.4046098610464,0.00014531719893326,"KLF10",0.00373815966911077
"MA0747.1",93,15678,52.8409090909091,39.195,1.34815433322896,0.000162964507178117,"SP8",0.00405238407849583
"MA1548.1",34,4059,19.3181818181818,10.1475,1.90373804564492,0.000179688591663835,"PLAGL2",0.00432411901229745
"MA0609.2",23,2291,13.0681818181818,5.7275,2.28165548986151,0.000192752669669594,"CREM",0.00449354661167241
"MA0516.2",91,15495,51.7045454545455,38.7375,1.33474141218575,0.00031604925115208,"SP2",0.007144628526044
"MA1615.1",55,8234,31.25,20.585,1.51809570075298,0.000559183059179527,"Plagl1",0.0122691341808214
"MA1522.1",88,15119,50,37.7975,1.32283881209075,0.0006326039317318,"MAZ",0.0134835009449121
"MA1133.1",21,2209,11.9318181818182,5.5225,2.16058274003045,0.000753602730776523,"JUN::JUNB(var.2)",0.0156163232544246
"MA0600.2",29,3570,16.4772727272727,8.925,1.84619302266361,0.000937870579370298,"RFX2",0.0186844544170275
"MA0799.1",31,3922,17.6136363636364,9.805,1.79639330582727,0.000960281497877814,"RFX4",0.0186844544170275
"MA1583.1",19,1943,10.7954545454545,4.8575,2.22243016890469,0.000976801236278919,"ZFP57",0.0186844544170275
"MA1107.2",100,18087,56.8181818181818,45.2175,1.25655292349603,0.00128407885755063,"KLF9",0.0239480706933192
"MA0471.2",73,12311,41.4772727272727,30.7775,1.34764918291845,0.001678978595692,"E2F6",0.0305492203021031
"MA1474.1",20,2205,11.3636363636364,5.5125,2.0614306328592,0.00176712514591728,"CREB3L4",0.0313875085441498
"MA1149.1",33,4441,18.75,11.1025,1.6888088268408,0.00181941607375933,"RARA::RXRG",0.0315647532796386
"MA0840.1",20,2233,11.3636363636364,5.5825,2.03558197288605,0.00204663878228397,"Creb5",0.0346998302632691
"MA0039.4",109,20421,61.9318181818182,51.0525,1.2131005960887,0.00231908489378646,"KLF4",0.0384452740169933
"MA0493.1",65,10789,36.9318181818182,26.9725,1.36923971384997,0.00240512934350399,"Klf1",0.0390049237011733
"MA0006.1",57,9182,32.3863636363636,22.955,1.41086315122473,0.00259975715849866,"Ahr::Arnt",0.0412642306434043
"MA1126.1",20,2306,11.3636363636364,5.765,1.97114247417803,0.00295737602915496,"FOS::JUN(var.2)",0.0459625524531167
"MA1475.1",17,1880,9.65909090909091,4.7,2.05512572533849,0.00402305043947798,"CREB3L4(var.2)",0.0612488903642975
"MA0733.1",47,7398,26.7045454545455,18.495,1.44387918110546,0.00455935573249045,"EGR4",0.0680255875287576
"MA0076.2",35,5106,19.8863636363636,12.765,1.5578819926646,0.00493026186773258,"ELK4",0.072117163790755
"MA1599.1",47,7462,26.7045454545455,18.655,1.43149533393436,0.00538428545460486,"ZNF682",0.0772437874833698
"MA0510.2",28,3874,15.9090909090909,9.685,1.64265264936406,0.00609010726866149,"RFX5",0.0853731288948334
"MA0647.1",14,1484,7.95454545454545,3.71,2.14408233276158,0.00617982434359384,"GRHL1",0.0853731288948334
"MA0735.1",17,2002,9.65909090909091,5.005,1.92988829352466,0.00740389549844951,"GLIS1",0.100423746215333
"MA0504.1",51,8425,28.9772727272727,21.0625,1.37577555975182,0.00795811225711627,"NR2C2",0.106013423996585
"MA1106.1",14,1535,7.95454545454545,3.8375,2.07284572105419,0.00819792041622203,"HIF1A",0.106196604248163
"MA0472.2",33,4899,18.75,12.2475,1.53092467850582,0.00825657244824857,"EGR2",0.106196604248163
"MA0759.1",24,3245,13.6363636363636,8.1125,1.68090769015268,0.00846558345391434,"ELK3",0.107039411129154
"MA0615.1",7,532,3.97727272727273,1.33,2.99043062200957,0.00952906388287391,"Gmeb1",0.118179195427721
"MA1099.2",25,3463,14.2045454545455,8.6575,1.6407213923818,0.00966344627492086,"HES1",0.118179195427721
"MA0748.2",25,3475,14.2045454545455,8.6875,1.63505559189012,0.0100679307688243,"YY2",0.119092795727088
"MA0751.1",36,5547,20.4545454545455,13.8675,1.47499877083436,0.0101657293828689,"ZIC4",0.119092795727088
"MA0028.2",24,3298,13.6363636363636,8.245,1.65389492254259,0.0102170763090263,"ELK1",0.119092795727088
"MA0463.2",26,3707,14.7727272727273,9.2675,1.59403585354489,0.0118359269250949,"BCL6",0.135840022863397
"MA0605.2",18,2287,10.2272727272727,5.7175,1.78876654609055,0.0123325190611214,"ATF3",0.137991175693635
"MA0469.3",6,431,3.40909090909091,1.0775,3.16388947479435,0.0123933093451388,"E2F3",0.137991175693635
"MA1483.1",26,3743,14.7727272727273,9.3575,1.57870449080708,0.0132750505208325,"ELF2",0.14563511306678
"MA0155.1",42,6861,23.8636363636364,17.1525,1.39126286918154,0.0142216518476712,"INSM1",0.153758728671923
"MA0475.2",23,3231,13.0681818181818,8.0775,1.61784980726485,0.0150983519393868,"FLI1",0.160057844411571
"MA0686.1",17,2166,9.65909090909091,5.415,1.78376563418115,0.0152333873367581,"SPDEF",0.160057844411571
"MA0156.2",22,3057,12.5,7.6425,1.63559044815178,0.0155066445569238,"FEV",0.160666067214794
"MA0798.2",36,5727,20.4545454545455,14.3175,1.42863945902186,0.0162382055446972,"RFX3",0.163870643820655
"MA0527.1",17,2182,9.65909090909091,5.455,1.77068577618532,0.0162552649366334,"ZBTB33",0.163870643820655
"MA0103.3",46,7744,26.1363636363636,19.36,1.35001878287002,0.0168966542342151,"ZEB1",0.168065387449659
"MA0638.1",14,1700,7.95454545454545,4.25,1.8716577540107,0.0184919265006001,"CREB3",0.180867915396001
"MA0750.2",39,6395,22.1590909090909,15.9875,1.38602601464212,0.019396787920252,"ZBTB7A",0.180867915396001
"MA1587.1",43,7199,24.4318181818182,17.9975,1.3575117756254,0.0194053178931452,"ZNF135",0.180867915396001
"MA0646.1",16,2053,9.09090909090909,5.1325,1.77124385599787,0.0194336022458166,"GCM1",0.180867915396001
"MA1560.1",14,1713,7.95454545454545,4.2825,1.85745369633286,0.0195992705733935,"SOHLH2",0.180867915396001
"MA0763.1",22,3128,12.5,7.82,1.59846547314578,0.0196384733875014,"ETV3",0.180867915396001
"MA0059.1",20,2773,11.3636363636364,6.9325,1.63918303117726,0.0202592678004836,"MAX::MYC",0.184309924136107
"MA1127.1",18,2424,10.2272727272727,6.06,1.68766876687669,0.0209710592202945,"FOSB::JUN",0.18848686961855
"MA0492.1",24,3528,13.6363636363636,8.82,1.5460729746444,0.0215421954006127,"JUND(var.2)",0.191315211534013
"MA0616.2",17,2278,9.65909090909091,5.695,1.69606512890095,0.0235547273033436,"HES2",0.206727371391698
"MA1466.1",13,1598,7.38636363636364,3.995,1.8489020366367,0.0248831480690784,"ATF6",0.215259023014372
"MA0656.1",18,2477,10.2272727272727,6.1925,1.65155796968474,0.0253502376568913,"JDP2(var.2)",0.215259023014372
"MA0119.1",30,4737,17.0454545454545,11.8425,1.43934596119523,0.0256748560179395,"NFIC::TLX1",0.215259023014372
"MA1139.1",15,1949,8.52272727272727,4.8725,1.7491487476095,0.0256810362577468,"FOSL2::JUNB(var.2)",0.215259023014372
"MA1533.1",18,2495,10.2272727272727,6.2375,1.63964292220805,0.026985911100728,"NR1I2",0.223683218679368
"MA1569.1",27,4189,15.3409090909091,10.4725,1.46487553983376,0.027914594879118,"TFAP2E",0.228838327250791
"MA0839.1",15,1978,8.52272727272727,4.945,1.72350399852928,0.0287566019175275,"CREB3L1",0.231161339424869
"MA0136.2",31,4979,17.6136363636364,12.4475,1.41503405210977,0.028817700491304,"ELF5",0.231161339424869
"MA0758.1",15,1988,8.52272727272727,4.97,1.71483446131333,0.0298781837487016,"E2F7",0.237118351877994
"MA1129.1",13,1647,7.38636363636364,4.1175,1.79389523651819,0.0307216033253157,"FOSL1::JUN(var.2)",0.241245432428268
"MA0038.2",23,3476,13.0681818181818,8.69,1.50381839104509,0.0320383754601636,"GFI1",0.247875424857571
"MA0058.3",17,2366,9.65909090909091,5.915,1.63298240221317,0.0322304506852338,"MAX",0.247875424857571
"MA1584.1",36,6029,20.4545454545455,15.0725,1.35707715737571,0.0328122754779387,"ZIC5",0.24977507659737
"MA0825.1",16,2203,9.09090909090909,5.5075,1.6506416869558,0.034219208280017,"MNT",0.257853832089825
"MA0163.1",49,8770,27.8409090909091,21.925,1.26982481600498,0.0378426316368187,"PLAG1",0.276649699117104
"MA0014.3",15,2053,8.52272727272727,5.1325,1.66054111499801,0.0379724596171546,"PAX5",0.276649699117104
"MA1136.1",14,1875,7.95454545454545,4.6875,1.6969696969697,0.0379753311727799,"FOSB::JUNB(var.2)",0.276649699117104
"MA0813.1",30,4901,17.0454545454545,12.2525,1.39118176253455,0.0381969423713963,"TFAP2B(var.3)",0.276649699117104
"MA0865.1",20,2984,11.3636363636364,7.46,1.52327565196198,0.0395679727561698,"E2F8",0.283824112270218
"MA1514.1",59,10931,33.5227272727273,27.3275,1.22670303806522,0.040919025802346,"KLF17",0.290719935700477
"MA0641.1",26,4153,14.7727272727273,10.3825,1.42284876212158,0.0417412543736304,"ELF4",0.293763922289889
"MA0872.1",27,4354,15.3409090909091,10.885,1.40936234183823,0.0423094004248241,"TFAP2A(var.3)",0.294979558102045
"MA0488.1",24,3782,13.6363636363636,9.455,1.44223835392529,0.0435876355124235,"JUN",0.301077556409888
"MA0834.1",14,1936,7.95454545454545,4.84,1.6435011269722,0.0473831181416345,"ATF7",0.32429179939137
"MA0116.1",27,4431,15.3409090909091,11.0775,1.3848710531175,0.0506789751118607,"Znf423",0.343695594849528
"MA1105.2",23,3654,13.0681818181818,9.135,1.43056177538936,0.0514563814092983,"GRHL2",0.34582396875078
"MA1535.1",21,3278,11.9318181818182,8.195,1.45598757557269,0.0528017747897987,"NR2C1",0.351697535653481
"MA0663.1",13,1810,7.38636363636364,4.525,1.63234555499749,0.0572886968415482,"MLX",0.374445370863562
"MA1554.1",13,1811,7.38636363636364,4.5275,1.6314442046082,0.0574886248087913,"RFX7",0.374445370863562
"MA0104.4",16,2363,9.09090909090909,5.9075,1.53887585119071,0.0577228118623454,"MYCN",0.374445370863562
"MA0697.1",33,5713,18.75,14.2825,1.31279537896027,0.059790307939738,"ZIC3",0.384513532095212
"MA1146.1",14,2023,7.95454545454545,5.0575,1.57282164202579,0.0634701520844174,"NR1H4::RXRA",0.399185657746772
"MA0765.2",25,4139,14.2045454545455,10.3475,1.3727514331525,0.0641073933167049,"ETV5",0.399185657746772
"MA0637.1",8,965,4.54545454545455,2.4125,1.88412623645784,0.0643472120025258,"CENPB",0.399185657746772
"MA0098.3",21,3357,11.9318181818182,8.3925,1.42172394183118,0.0645896602706791,"ETS1",0.399185657746772
"MA1573.1",33,5754,18.75,14.385,1.30344108446298,0.064747271564825,"THAP11",0.399185657746772
"MA0464.2",12,1701,6.81818181818182,4.2525,1.60333493666827,0.0734619928973479,"BHLHE40",0.449202022142799
"MA1630.1",57,10959,32.3863636363636,27.3975,1.18209192942289,0.0820019872137034,"Znf281",0.497345385865226
"MA0736.1",21,3500,11.9318181818182,8.75,1.36363636363636,0.0903853156367424,"GLIS2",0.538164362126455
"MA0139.1",64,12562,36.3636363636364,31.405,1.1578932132984,0.0914203030637231,"CTCF",0.538164362126455
"MA0636.1",11,1584,6.25,3.96,1.57828282828283,0.0916160963178453,"BHLHE41",0.538164362126455
"MA1652.1",63,12345,35.7954545454545,30.8625,1.15983651828123,0.091617793552359,"ZKSCAN5",0.538164362126455
"MA0138.2",39,7204,22.1590909090909,18.01,1.23037706324769,0.0928861622093998,"REST",0.541352164126658
"MA0147.3",19,3125,10.7954545454545,7.8125,1.38181818181818,0.0946274928126626,"MYC",0.547225656110436
"MA0871.2",17,2737,9.65909090909091,6.8425,1.41163184641446,0.095432802112844,"TFEC",0.547637464432167
"MA1556.1",16,2549,9.09090909090909,6.3725,1.42658440029958,0.0969074887773858,"RXRG(var.2)",0.55185485975519
"MA1575.1",15,2369,8.52272727272727,5.9225,1.4390421735293,0.100251878327308,"THRB(var.2)",0.566575009334636
"MA1600.1",33,6020,18.75,15.05,1.24584717607973,0.104257977757503,"ZNF684",0.580311087218405
"MA0622.1",19,3172,10.7954545454545,7.93,1.36134357445833,0.105325784076978,"Mlxip",0.580311087218405
"MA0762.1",19,3172,10.7954545454545,7.93,1.36134357445833,0.105325784076978,"ETV2",0.580311087218405
"MA0645.1",28,4994,15.9090909090909,12.485,1.27425638038373,0.105793978366894,"ETV6",0.580311087218405
"MA0107.1",23,3981,13.0681818181818,9.9525,1.31305519398963,0.107083754095268,"RELA",0.583098398212188
"MA0004.1",35,6483,19.8863636363636,16.2075,1.22698526215417,0.112136041153158,"Arnt",0.606184686233736
"MA0657.1",25,4431,14.2045454545455,11.0775,1.28228801214583,0.116355124450725,"KLF13",0.620175571531995
"MA0815.1",24,4227,13.6363636363636,10.5675,1.29040583263436,0.116406309132816,"TFAP2C(var.3)",0.620175571531995
"MA1523.1",25,4435,14.2045454545455,11.0875,1.28113149533668,0.117218171026825,"MSANTD3",0.620175571531995
"MA1145.1",16,2637,9.09090909090909,6.5925,1.37897748819251,0.120223823009817,"FOSL2::JUND(var.2)",0.631598394121994
"MA0474.2",19,3243,10.7954545454545,8.1075,1.33153925938385,0.122885720608242,"ERG",0.637309265783216
"MA1631.1",46,8884,26.1363636363636,22.21,1.1767835946134,0.123019482939388,"ASCL1(var.2)",0.637309265783216
"MA1552.1",12,1879,6.81818181818182,4.6975,1.45144902994823,0.126472529588995,"RARB(var.3)",0.650679359126827
"MA0811.1",27,4921,15.3409090909091,12.3025,1.24697493118546,0.133527492983921,"TFAP2B",0.682270614835652
"MA1122.1",27,4930,15.3409090909091,12.325,1.24469850636179,0.135565036888939,"TFDP1",0.687969506932984
"MA0056.2",24,4316,13.6363636363636,10.79,1.26379644451934,0.137038589074773,"MZF1",0.688488918772382
"MA0509.2",30,5567,17.0454545454545,13.9175,1.22474974280255,0.138106946626333,"RFX1",0.688488918772382
"MA0828.1",11,1721,6.25,4.3025,1.45264381173736,0.138846683531682,"SREBF2(var.2)",0.688488918772382
"MA0810.1",32,5998,18.1818181818182,14.995,1.2125253872503,0.140484622448643,"TFAP2A(var.2)",0.688488918772382
"MA0145.3",8,1160,4.54545454545455,2.9,1.56739811912226,0.140943198695902,"TFCP2",0.688488918772382
"MA0696.1",31,5791,17.6136363636364,14.4775,1.21662140311769,0.141204831866186,"ZIC1",0.688488918772382
"MA1140.2",12,1924,6.81818181818182,4.81,1.41750141750142,0.14262075920168,"JUNB(var.2)",0.690877184184762
"MA0664.1",11,1741,6.25,4.3525,1.43595634692705,0.146676648704165,"MLXIPL",0.702207972833891
"MA1627.1",86,17861,48.8636363636364,44.6525,1.09430908378336,0.146842417911645,"Wt1",0.702207972833891
"MA1131.1",16,2744,9.09090909090909,6.86,1.32520540683806,0.152722231825806,"FOSL2::JUN(var.2)",0.725673789439818
"MA0906.1",7,1008,3.97727272727273,2.52,1.57828282828283,0.15777734296846,"HOXC12",0.744948720597921
"MA0862.1",4,483,2.27272727272727,1.2075,1.88217579521927,0.164750176075104,"GMEB2",0.76834805268272
"MA1484.1",20,3596,11.3636363636364,8.99,1.26403074122763,0.164793148028465,"ETS2",0.76834805268272
"MA0626.1",14,2383,7.95454545454545,5.9575,1.33521535116164,0.166449669402926,"Npas2",0.771251263196165
"MA0603.1",14,2392,7.95454545454545,5.98,1.33019154758285,0.169772100438601,"Arntl",0.778056357453143
"MA0754.1",5,666,2.84090909090909,1.665,1.70625170625171,0.171303965250621,"CUX1",0.778056357453143
"MA0831.2",13,2198,7.38636363636364,5.495,1.34419720406982,0.172008719533194,"TFE3",0.778056357453143
"MA0522.3",40,7850,22.7272727272727,19.625,1.15807759119861,0.172090213109609,"TCF3",0.778056357453143
"MA1539.1",13,2208,7.38636363636364,5.52,1.3381093544137,0.175932064246042,"NR2F6(var.3)",0.790634457394862
"MA0753.2",66,13608,37.5,34.02,1.10229276895944,0.184453688139327,"ZNF740",0.823966774562504
"MA0672.1",16,2843,9.09090909090909,7.1075,1.27905861286093,0.186681630332861,"NKX2-3",0.828955334692346
"MA0830.2",39,7715,22.1590909090909,19.2875,1.14888352088611,0.190288924051525,"TCF4",0.839973593742236
"MA1566.1",23,4314,13.0681818181818,10.785,1.21169975133814,0.193258568317814,"TBX3",0.848064070382879
"MA0695.1",16,2879,9.09090909090909,7.1975,1.26306482680224,0.199902563809815,"ZBTB7C",0.868200271843226
"MA0858.1",19,3503,10.7954545454545,8.7575,1.23270962551579,0.201198555285581,"Rarb(var.2)",0.868200271843226
"MA1589.1",22,4136,12.5,10.34,1.20889748549323,0.203150162336406,"ZNF140",0.868200271843226
"MA0032.2",25,4770,14.2045454545455,11.925,1.19115685153421,0.203618296877269,"FOXC1",0.868200271843226
"MA1553.1",10,1675,5.68181818181818,4.1875,1.35685210312076,0.204566625517999,"RARG(var.3)",0.868200271843226
"MA1648.1",40,7993,22.7272727272727,19.9825,1.13735882533581,0.204830090944246,"TCF12(var.2)",0.868200271843226
"MA0259.1",8,1284,4.54545454545455,3.21,1.41602945341263,0.206097081184382,"ARNT::HIF1A",0.868635155726264
"MA0749.1",3,367,1.70454545454545,0.9175,1.85781520931385,0.21978247350027,"ZBED1",0.921110815905627
"MA0734.2",30,5901,17.0454545454545,14.7525,1.15542820169155,0.222424912942284,"GLI2",0.92697757013935
"MA0620.3",12,2121,6.81818181818182,5.3025,1.28584287000129,0.225189416032001,"MITF",0.931237575955313
"MA0524.2",25,4843,14.2045454545455,12.1075,1.17320218497175,0.225943701404707,"TFAP2C",0.931237575955313
"MA0063.2",16,2970,9.09090909090909,7.425,1.2243648607285,0.235225435002756,"NKX2-5",0.96059627814457
"MA0823.1",11,1939,6.25,4.8475,1.28932439401753,0.235642250536805,"HEY1",0.96059627814457
"MA0694.1",13,2353,7.38636363636364,5.8825,1.25565042692115,0.237520449967985,"ZBTB7B",0.962990519978896
"MA0885.1",8,1350,4.54545454545455,3.375,1.34680134680135,0.244955281311466,"Dlx2",0.987765620855964
"MA0805.1",22,4292,12.5,10.73,1.16495806150979,0.25555377102779,"TBX1",1
"MA1632.1",20,3867,11.3636363636364,9.6675,1.17544725768155,0.256023472591678,"ATF2",1
"MA0083.3",8,1373,4.54545454545455,3.4325,1.3242402171754,0.25904856748092,"SRF",1
"MA0687.1",29,5831,16.4772727272727,14.5775,1.13032225877364,0.266173203070451,"SPIC",1
"MA0883.1",9,1602,5.11363636363636,4.005,1.27681307456588,0.274404743715994,"Dmbx1",1
"MA0470.2",5,802,2.84090909090909,2.005,1.41691226479256,0.27887981846057,"E2F4",1
"MA0911.1",6,1020,3.40909090909091,2.55,1.33689839572193,0.293670329796598,"Hoxa11",1
"MA0528.2",65,13895,36.9318181818182,34.7375,1.0631685694658,0.294952232002717,"ZNF263",1
"MA1117.1",15,2900,8.52272727272727,7.25,1.17554858934169,0.295515650217616,"RELB",1
"MA0711.1",3,432,1.70454545454545,1.08,1.57828282828283,0.296280683796428,"OTX1",1
