"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
3.89136637993396e-54,-1.38373310377074,0.772,0.895,1.00420600800576e-49,"Atp8a2"
1.60460677923026e-52,5.56493464069023,0.2,0.001,4.14084825448161e-48,"APP"
4.55382137284647e-31,-0.457598627543797,1,1,1.17515914347676e-26,"Gm42418"
1.13605722397227e-29,0.426471330404874,1,1,2.93170927218283e-25,"Malat1"
2.19533818831189e-16,-0.753351790785004,0.953,0.967,5.66528972875767e-12,"Pcdh9"
5.77799337835235e-16,-0.879955933007248,0.931,0.961,1.49106897121761e-11,"Il1rapl1"
5.99946497022693e-16,-0.719065678303774,0.927,0.961,1.54822193021676e-11,"Mdga2"
8.99834763944435e-16,-0.79242454567195,0.934,0.964,2.32211359183501e-11,"Fgf14"
1.29798375520023e-15,2.52355455126038,0.122,0.026,3.34957687866971e-11,"Olfr111"
2.63614278631124e-15,-0.643986265932396,0.959,0.974,6.80283007435479e-11,"Dlg2"
2.71107903222953e-15,-0.396465155046798,0.993,0.996,6.99621055057153e-11,"Dst"
4.44558964890086e-15,2.50051190459888,0.12,0.026,1.14722886479536e-10,"Lyz2"
4.75255807081463e-15,-0.80916014852708,0.954,0.967,1.22644513575442e-10,"Cadm2"
5.77369565161833e-15,-0.832069304864544,0.951,0.973,1.48995989985663e-10,"Lsamp"
2.0283049944955e-14,-0.550026581120732,0.904,0.939,5.23424386879508e-10,"Cntn1"
3.16145684784971e-14,0.798553759751761,0.932,0.902,8.15845554156097e-10,"Cacna1a"
3.37619095822209e-14,-0.740588650252979,0.934,0.951,8.71259838678791e-10,"Kcnip4"
4.46619522632892e-14,-0.654233879771931,0.932,0.963,1.15254634010644e-09,"Adgrb3"
4.85733444487284e-14,-0.759259015303118,0.954,0.973,1.25348372684389e-09,"Nrxn1"
7.50638046132637e-14,1.23089861074133,0.327,0.177,1.93709654184988e-09,"Cd9"
2.0889312862543e-13,-0.740658536605924,0.942,0.967,5.39069607730786e-09,"Nlgn1"
4.08818678753116e-13,2.28046461795094,0.117,0.03,1.05499748239029e-08,"Slc15a2"
4.30082161185365e-13,2.52894092809457,0.183,0.074,1.10987002515495e-08,"Myo1e"
4.48978875943736e-13,2.21594851821913,0.169,0.063,1.1586348872604e-08,"Rftn1"
5.64441544735653e-13,-0.498334784811919,0.946,0.969,1.45659785034483e-08,"Magi2"
6.72358437485995e-13,1.02201016092434,0.364,0.214,1.73508818377636e-08,"Anxa3"
8.26671563840332e-13,-0.746946539637415,0.963,0.969,2.13330863764636e-08,"Rbfox1"
9.96404326308168e-13,-0.6057211555388,0.934,0.961,2.57132100447086e-08,"Csmd1"
1.08733712030248e-12,-0.713396118133172,0.398,0.567,2.80598217265257e-08,"Bend6"
1.34224084334811e-12,-0.511055935879581,0.854,0.913,3.46378672034413e-08,"Unc80"
1.42406229925786e-12,-0.484593001887735,0.953,0.97,3.67493516946483e-08,"Ptprd"
1.43326049672919e-12,-0.765492596851357,0.932,0.959,3.69867203785935e-08,"Kcnd2"
1.56110676049367e-12,-0.820674171064401,0.92,0.953,4.02859210612995e-08,"Grik2"
1.70400916530414e-12,-0.45828179471437,0.882,0.918,4.39736605198386e-08,"Grid1"
2.15632000428096e-12,-0.599874849871322,0.922,0.962,5.56459940304744e-08,"Macrod2"
5.10111789853525e-12,2.11986885482498,0.115,0.032,1.31639448489601e-07,"Upk1b"
5.50874314647061e-12,-0.483763637587832,0.902,0.941,1.4215862563782e-07,"Map2"
8.88524196919904e-12,-0.589964514439215,0.924,0.957,2.2929255425715e-07,"Anks1b"
1.23541803115787e-11,-0.469051659464863,0.895,0.933,3.18811977120599e-07,"Myt1l"
1.2562682703447e-11,-0.525378047739146,0.898,0.929,3.24192589845154e-07,"Cdr1os"
1.46457434429091e-11,-0.456691998399041,0.89,0.928,3.77948055287712e-07,"Sorbs2"
2.79251387095126e-11,-1.33118109395213,0.068,0.19,7.20636129537683e-07,"Scoc"
2.87033461754942e-11,-0.394953336154536,0.888,0.931,7.40718551404804e-07,"Rgs7"
3.10440060509465e-11,-0.567664980720989,0.885,0.921,8.01121620150727e-07,"Dpp6"
3.73335303360265e-11,1.09015291924032,0.32,0.186,9.634290838515e-07,"Cd84"
3.86018440001885e-11,-0.521202689437696,0.927,0.958,9.96159186268863e-07,"Adgrl3"
4.96266422742525e-11,-0.699410867444477,0.934,0.957,1.28066513052936e-06,"Nrg3"
5.05476185705793e-11,-0.898125053924558,0.403,0.533,1.30443184483237e-06,"Slc1a3"
5.18758094622147e-11,-0.666918909702936,0.887,0.884,1.33870713898191e-06,"Ccdc85a"
5.29531764957262e-11,-0.442796904233921,0.922,0.962,1.36650967264871e-06,"Gria2"
7.11938860091442e-11,-0.621631389750861,0.934,0.959,1.83722942235198e-06,"Ctnna2"
7.92391220684114e-11,1.02255782020202,0.266,0.139,2.04484478409742e-06,"Nrros"
9.0811529573561e-11,0.471765395553107,0.956,0.915,2.34348233217532e-06,"Hdac9"
9.18902552247167e-11,-0.473555936585802,0.893,0.933,2.37131992632904e-06,"Cacna1c"
1.16051541621518e-10,-0.63198208445734,0.917,0.946,2.9948260830849e-06,"Xkr4"
1.19897393224726e-10,-0.536084524036015,0.936,0.961,3.09407212955728e-06,"Nkain2"
1.40006391983523e-10,-0.462595686173337,0.9,0.94,3.61300495152679e-06,"Gabrb3"
1.53880318922035e-10,-0.414346233956294,0.904,0.931,3.97103551010202e-06,"Dock3"
1.68729912607844e-10,0.493093925299147,0.92,0.891,4.35424412475802e-06,"Magi1"
2.65688764434642e-10,-0.400821286051073,0.876,0.907,6.85636425500036e-06,"Ntrk2"
2.81631360906283e-10,-0.399547430926994,0.902,0.93,7.26777889954754e-06,"Pclo"
3.03692849229816e-10,-0.575205973964573,0.92,0.953,7.83709766722464e-06,"Lrrc7"
3.66014793499971e-10,-0.663041168712348,0.87,0.896,9.44537776106026e-06,"Gm26871"
4.44745683805641e-10,-0.666978409642767,0.922,0.947,1.14771071162884e-05,"Grm5"
4.60099530038781e-10,-0.559328072301472,0.87,0.905,1.18733284721808e-05,"Dok6"
4.82657527440427e-10,-0.488500094104522,0.882,0.919,1.24554601531277e-05,"Gpr158"
4.89828016372022e-10,-0.630662599683439,0.926,0.953,1.26405017904964e-05,"Negr1"
5.02535873489632e-10,-0.355274615430148,0.953,0.986,1.29684407512734e-05,"Ank2"
6.10588132156745e-10,-0.455236723480918,0.89,0.926,1.5756837338437e-05,"Ppfia2"
6.22936390204653e-10,-0.443035978729603,0.868,0.909,1.60754964856213e-05,"Scn2a"
6.24387080313881e-10,1.11272940307879,0.8,0.737,1.611293299458e-05,"Fgf13"
6.52754250706501e-10,-0.491713406647267,0.853,0.902,1.6844976193732e-05,"Cttnbp2"
6.8852342318641e-10,-0.383370668336646,0.892,0.924,1.77680354587485e-05,"Frmpd4"
6.95363940662105e-10,-0.435554380153109,0.892,0.927,1.79445618527263e-05,"Ptprn2"
9.09110868744494e-10,-0.412063222180747,0.907,0.94,2.34605150788204e-05,"Dclk1"
9.7385398891781e-10,-0.380218790958566,0.885,0.921,2.5131276038013e-05,"Ppp2r2b"
1.31861385439646e-09,-0.562641314169957,0.934,0.956,3.4028149126555e-05,"Syt1"
1.3787782100348e-09,-0.666454521757732,0.865,0.893,3.5580750488158e-05,"Dgkb"
1.44957065798373e-09,-0.72090439357269,0.941,0.947,3.74076203999282e-05,"Nrxn3"
1.6844352812585e-09,-0.674720297819361,0.844,0.893,4.34685368681567e-05,"Galnt13"
1.76919731396712e-09,-0.775577636509057,0.927,0.945,4.56559058842356e-05,"Tenm2"
2.19367700306073e-09,-0.584672512712465,0.931,0.958,5.66100287409853e-05,"Lrrc4c"
2.20104590983361e-09,0.456667069481175,0.951,0.893,5.68001907491661e-05,"Asap1"
2.29359626984608e-09,-0.539167206920203,0.873,0.911,5.9188545339648e-05,"Pde10a"
2.3437674139862e-09,-0.353006718044259,0.902,0.931,6.04832618853279e-05,"Snap25"
2.55215248499474e-09,-0.437359461813401,0.919,0.95,6.58608470277743e-05,"Rims1"
3.47011023418609e-09,-0.55537456399061,0.937,0.951,8.95496647034062e-05,"Cntnap2"
4.02317570815497e-09,-0.558879505136267,0.926,0.949,0.000103822072324647,"Opcml"
4.15976144125899e-09,0.600388871115431,0.685,0.614,0.000107346803753129,"Abhd12"
4.40191700179202e-09,-0.459741591808354,0.931,0.952,0.000113595870148245,"Meg3"
4.41960619030688e-09,-0.505746019560038,0.917,0.954,0.000114052357347059,"Fgf12"
4.63223253274002e-09,-0.785246755288251,0.313,0.447,0.000119539392739889,"Mpped2"
4.87812805560711e-09,-0.335634528972512,0.878,0.916,0.000125884972602997,"Nrcam"
4.91248751128234e-09,-0.488373885449869,0.926,0.949,0.000126771652716152,"Grm7"
5.25786800553096e-09,-0.367670674475743,0.907,0.936,0.000135684541750732,"Akap6"
5.67154163753994e-09,0.732470476430437,0.597,0.488,0.000146359803498356,"Ctsd"
5.69697935775321e-09,-0.459841519810454,0.851,0.894,0.000147016249306179,"Cacna1e"
5.79169066343144e-09,-0.569458146324752,0.919,0.952,0.000149460369260512,"Ccser1"
5.93578277682908e-09,-0.402324656183405,0.858,0.907,0.000153178810338851,"Samd12"
6.02445921180527e-09,-0.378850366803944,0.895,0.92,0.000155467194419847,"Rian"
6.35011237714355e-09,-0.620053185275346,0.846,0.866,0.000163871000004566,"Hs6st3"
6.71392783851871e-09,-0.417150679771089,0.961,0.98,0.000173259621800814,"Ctnnd2"
6.81189090480533e-09,-0.409616522698103,0.858,0.884,0.000175787656689406,"Robo2"
7.02530642519271e-09,-0.336396169089499,0.897,0.923,0.000181295057608523,"A230057D06Rik"
7.65361402195226e-09,-0.396106879853819,0.876,0.907,0.0001975091634505,"Tenm4"
7.95694732525305e-09,-0.452835120969567,0.9,0.935,0.00020533698267548,"Gabrb1"
7.99125904012433e-09,0.678398340977497,0.487,0.361,0.000206222430789448,"Ptprc"
7.99510088734216e-09,-1.40993025435986,0.037,0.124,0.000206321573498752,"Ptch1"
1.04239827269497e-08,-0.484690208210903,0.547,0.668,0.000269001298251665,"Zfp451"
1.05048655607214e-08,-0.478310936368042,0.917,0.945,0.000271088560659976,"Gpm6a"
1.07702929165531e-08,-0.734756579523883,0.927,0.933,0.000277938179004568,"Phactr1"
1.17718099125562e-08,-0.523509303694521,0.924,0.943,0.000303783326603425,"Fam155a"
1.46290290228496e-08,-0.26998446016995,0.883,0.917,0.000377516722963657,"Sptbn1"
1.59248657153536e-08,-0.763250421059196,0.166,0.294,0.000410957084650415,"Nhs"
1.71863138410617e-08,-1.22168673129932,0.066,0.163,0.00044351001498244,"Lonrf2"
1.92673850686731e-08,-0.370837308647915,0.883,0.905,0.000497214139082178,"Ryr2"
1.93800314707628e-08,1.49038768732518,0.129,0.052,0.000500121092134504,"Nlrp1b"
2.070949482179e-08,-0.582615219253633,0.844,0.886,0.000534429223371112,"Kcnb2"
2.1637830011663e-08,0.4118225674085,0.888,0.855,0.000558385841280976,"Plxdc2"
2.2728664627448e-08,-0.414225168073696,0.88,0.906,0.000586535919375924,"Stxbp5l"
2.96088883085141e-08,-0.347326626698615,0.944,0.943,0.000764086971689514,"Ssbp2"
3.12922155707503e-08,-0.775788436998009,0.926,0.928,0.000807526915018781,"Lrrtm4"
3.19402564675124e-08,-0.260838150332321,0.968,0.982,0.000824250258400626,"Rtn1"
3.4801311756269e-08,-1.29131264597226,0.08,0.178,0.000898082651182278,"Syt4"
3.62210872993446e-08,-0.383778602418085,0.915,0.937,0.000934721378846888,"Cadps"
3.97424878412987e-08,0.359191704299856,0.942,0.876,0.00102559464123255,"Son"
4.34085150222879e-08,0.332891068215559,0.912,0.855,0.00112020013866516,"Rsrp1"
4.36160947047403e-08,-1.04146347693642,0.085,0.187,0.00112555693995053,"Flywch1"
4.43052688644688e-08,-0.328325440681853,0.89,0.911,0.00114334176831648,"Agbl4"
4.79666385689074e-08,-0.748376190445134,0.227,0.346,0.00123782707490922,"Pcsk1n"
4.91316987083409e-08,-1.19537545418347,0.066,0.157,0.00126789261686745,"Hs3st5"
5.36622600200906e-08,-1.10379334342536,0.066,0.159,0.00138480828207846,"Chic1"
5.39099767152548e-08,-0.29952678678999,0.902,0.932,0.00139120085911387,"Mapk10"
5.68456489914742e-08,-0.515863792584774,0.922,0.945,0.00146695881787398,"Rims2"
5.81808377728434e-08,-0.452675825436267,0.898,0.934,0.001501414699566,"Snhg11"
6.38848866497676e-08,-0.399794160298138,0.922,0.947,0.0016486133848839,"Kalrn"
6.84672316577761e-08,-0.380191837291291,0.865,0.902,0.00176686538016057,"Unc79"
6.92670460727973e-08,-0.372200794603368,0.919,0.95,0.00178750539095461,"Grin2b"
7.07021963730057e-08,-0.686231966691145,0.92,0.924,0.00182454087960178,"Nrg1"
7.28459622772119e-08,-1.32191305733723,0.063,0.152,0.00187986290252573,"Adcy5"
7.30836549662618e-08,-0.321236829564812,0.873,0.911,0.00188599680005935,"Otud7a"
7.69516001002167e-08,0.444447674488553,0.949,0.939,0.00198581299218619,"Klf12"
7.70449634876733e-08,-0.385343189496727,0.866,0.898,0.0019882223277629,"Enox1"
7.91910189164007e-08,-0.97963904655132,0.088,0.189,0.00204360343415664,"Xrcc5"
8.01716847199326e-08,-0.679537314117137,0.274,0.397,0.00206891049588258,"Soga3"
8.31320817760029e-08,-0.45697962615116,0.9,0.94,0.00214530650231153,"Sntg1"
8.33944051032762e-08,-0.579268874085952,0.372,0.505,0.00215207601809514,"Mpp6"
8.90345474196758e-08,-0.345884789995257,0.866,0.906,0.00229762553071215,"Atp1b1"
9.12137659665713e-08,0.723918098848887,0.448,0.336,0.00235386244453334,"Tgfbr2"
9.79403293239628e-08,-0.765019791239235,0.863,0.875,0.00252744813853418,"Cntn5"
1.01929311930994e-07,-0.415094713890534,0.922,0.942,0.00263038782369122,"Snhg14"
1.03384412611758e-07,-0.813113310015548,0.393,0.506,0.00266793815185903,"Nkain3"
1.05569122874697e-07,-0.480747495953832,0.849,0.883,0.00272431678490444,"Epha5"
1.05940248451234e-07,-0.407906884594957,0.836,0.866,0.00273389405153255,"Fut9"
1.08917252023565e-07,-0.457433172338225,0.887,0.91,0.00281071860572011,"Cacna2d1"
1.12044886472231e-07,-0.363050026666659,0.997,0.995,0.00289143034030239,"Celf2"
1.22138699478207e-07,-1.05393282889863,0.108,0.21,0.0031519112787346,"Gap43"
1.24925147696213e-07,-1.36637942885751,0.056,0.14,0.00322381836144848,"Gdap1"
1.26958041961778e-07,-0.523007906043867,0.863,0.874,0.00327627923086563,"Unc5c"
1.27915365761343e-07,0.667485850332552,0.86,0.804,0.00330098392883721,"Cst3"
1.3426687451037e-07,-0.554006432033277,0.812,0.851,0.0034648909636146,"A230006K03Rik"
1.36178416871278e-07,-0.470794155279344,0.888,0.912,0.0035142202257802,"Gria1"
1.41033164589265e-07,-0.463523082231299,0.399,0.525,0.00363950184539057,"Ttc19"
1.42061102816613e-07,-0.253586965360393,0.905,0.939,0.00366602881928552,"Hivep2"
1.4616708668899e-07,-0.972446515532961,0.074,0.168,0.00377198783909607,"Smarca1"
1.48719042357582e-07,-0.324750986174111,0.895,0.919,0.00383784360707976,"Gria4"
1.63092678490594e-07,-0.366600386290857,0.91,0.937,0.00420876966112827,"Syne1"
1.63562059485268e-07,-0.543891138600422,0.902,0.933,0.00422088250707683,"Ralyl"
1.65645670680725e-07,-1.25572960521056,0.09,0.183,0.00427465217758679,"Plppr1"
1.69361761071086e-07,-0.806824578895541,0.871,0.897,0.00437054960620045,"Robo1"
1.72228560134138e-07,-0.502124978982495,0.91,0.939,0.00444453022282156,"Lrfn5"
1.79627085755772e-07,-0.311335366653098,0.88,0.899,0.00463545657501346,"Hecw2"
1.85758208310748e-07,0.78703048580179,0.35,0.238,0.00479367632366716,"B2m"
2.06263473175594e-07,-0.432326311758996,0.831,0.863,0.00532283518876938,"Csrnp3"
2.15966958496198e-07,1.77523881315088,0.462,0.397,0.00557324333095288,"Apoe"
2.17863039944013e-07,-0.363944458005173,0.888,0.914,0.00562217360879521,"Prickle2"
2.22361163442353e-07,-0.851824679016541,0.118,0.221,0.00573825218379335,"5330417C22Rik"
2.22921680646924e-07,-0.399940022216983,0.631,0.753,0.00575271689077451,"Arsb"
2.29200945587106e-07,-0.855045052826676,0.898,0.909,0.00591475960182085,"Sgcz"
2.34137570416918e-07,-0.401435460194401,0.856,0.884,0.00604215414217898,"Celf4"
2.51584138033022e-07,-1.19079012865528,0.058,0.142,0.00649238026608016,"Adamts3"
2.58220921868814e-07,0.658167416935932,0.892,0.854,0.00666364910974661,"Apbb2"
2.68699712751474e-07,0.43184867081303,0.963,0.964,0.00693406478726455,"AC149090.1"
2.82780602335063e-07,-0.381557029175419,0.838,0.869,0.00729743622385864,"Nalcn"
3.0076289330681e-07,-1.39225536203667,0.056,0.137,0.00776148722467555,"Hacd1"
3.00862169355969e-07,-1.46854965605294,0.052,0.132,0.00776404914240013,"Abat"
3.34158422959041e-07,0.615200095768245,0.504,0.396,0.008623292262881,"Dgkd"
3.45514849896318e-07,-1.21946606122379,0.054,0.135,0.00891635621642439,"Clip4"
3.66949219169907e-07,0.557014963255742,0.465,0.347,0.00946949154989861,"Pnpla7"
3.74846681097954e-07,-0.340554055050044,0.892,0.93,0.00967329345241381,"Tmem178b"
4.2638318038293e-07,-1.16298581387297,0.08,0.168,0.0110032443529619,"Samd5"
4.3053631998089e-07,-0.339588547238573,0.858,0.896,0.0111104202734268,"Map1b"
4.30862723789961e-07,-0.427548254990008,0.909,0.947,0.0111188434501237,"Dmd"
4.33843967857458e-07,-0.442956449901722,0.866,0.891,0.0111957774345296,"Gria3"
4.38271456967111e-07,-1.03246931145376,0.1,0.194,0.0113100332184933,"Sacs"
4.46973055445539e-07,-0.631908451159382,0.902,0.918,0.0115345866688276,"Ncam2"
4.49413085726888e-07,-1.1309166604597,0.09,0.181,0.0115975540902681,"Syndig1"
4.84268480295796e-07,-0.823201106649457,0.266,0.381,0.0124970324025133,"Slit2"
5.74678511013467e-07,-0.17547476981767,0.902,0.938,0.0148301536552135,"Sgip1"
5.77383830637046e-07,-0.539332791990354,0.917,0.931,0.0148999671334196,"Plcb1"
5.94176772840408e-07,-0.373694321986509,0.858,0.885,0.0153333257999196,"Adam22"
5.99599984315653e-07,-0.526612665201027,0.279,0.403,0.0154732771952497,"Rasgef1a"
5.99885273089715e-07,-0.389230823331705,0.915,0.943,0.0154806393573532,"Auts2"
6.04295729245378e-07,-0.575041275707355,0.822,0.851,0.0155944555889062,"Gabrg3"
6.07562211797979e-07,-0.677028005879987,0.898,0.909,0.0156787504376586,"Lingo2"
6.16858743926307e-07,-0.998714797988464,0.073,0.16,0.0159186567457623,"B230334C09Rik"
6.43312540602461e-07,-0.40242772307162,0.924,0.954,0.0166013234227871,"Erc2"
6.48974235687184e-07,-0.562086476639962,0.832,0.862,0.0167474291261435,"Grip1"
6.724473318181e-07,-0.510872858880741,0.834,0.861,0.0173531758448979,"Kcnj3"
6.73946743813718e-07,0.455806486114362,0.934,0.893,0.0173918696708568,"Cdk14"
6.78420180237291e-07,-1.19891147321072,0.042,0.116,0.0175073111712035,"Rint1"
7.06496879369088e-07,-1.06470428381384,0.064,0.147,0.0182318584689987,"Eml1"
7.16653026811212e-07,-1.0651310355035,0.112,0.205,0.0184939480098901,"Gm45159"
7.17624544286459e-07,-0.917036627843793,0.074,0.161,0.0185190189898564,"Lin28b"
7.22067831761993e-07,-0.394266434418426,0.907,0.914,0.01863368246645,"Kcnq3"
7.29019898626327e-07,-0.414824379832346,0.902,0.923,0.018813087503951,"B3galt1"
7.54452327752036e-07,-1.0397619287666,0.059,0.139,0.019469396769969,"Cdh4"
7.59085239690701e-07,-0.950609039016349,0.174,0.277,0.0195889536954582,"Hs6st2"
7.95502165285555e-07,-0.670309349682889,0.838,0.857,0.020528728877359,"Cacna2d3"
8.02327669051366e-07,0.616695757943096,0.389,0.278,0.0207048678275395,"Myo1f"
8.42291769888163e-07,0.637363963695393,0.431,0.332,0.0217361814137339,"Sdk1"
8.54169737945799e-07,-0.911410788464469,0.059,0.139,0.0220427042574293,"Frmd3"
8.93735560242425e-07,-1.19503499517519,0.066,0.146,0.023063739867616,"Jakmip3"
9.62375816365545e-07,-1.12240902159271,0.091,0.179,0.0248350703171292,"D630045J12Rik"
9.99049232380431e-07,-0.601398486620804,0.875,0.894,0.0257814644908094,"Cntn4"
1.02621118300948e-06,-0.307412928019179,0.878,0.917,0.0264824057887427,"Rbfox2"
1.0480478889239e-06,-0.37634578181136,0.898,0.921,0.0270459238215702,"Dgki"
1.04988994143384e-06,-1.32074392547791,0.059,0.138,0.0270934598286416,"Cdh9"
