"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.4391049786183,0.604,0.042,0,"0","A330049N07Rik"
0,4.36192794172008,0.497,0.036,0,"0","4930420G21Rik"
0,4.31899317814638,0.317,0.019,0,"0","Gm48508"
0,4.2353657228566,0.956,0.117,0,"0","Prr5l"
0,4.19946394002109,0.396,0.026,0,"0","Cyp2j12"
0,4.18678456940404,0.349,0.022,0,"0","9330117O12Rik"
0,4.17813375798369,0.649,0.06,0,"0","Anln"
0,4.12151470635105,0.59,0.043,0,"0","Gm19500"
0,4.10735327950353,0.335,0.023,0,"0","Enpp6"
0,4.03073358602935,0.399,0.027,0,"0","Insc"
0,4.26307636122518,0.299,0.022,0,"1","Prlr"
0,3.28845264386225,0.366,0.042,0,"1","Ubap1l"
0,3.25392220045127,0.49,0.055,0,"1","Ankrd55"
0,3.20022678843094,0.466,0.069,0,"1","Resp18"
0,3.19163519860651,0.429,0.071,0,"1","Glra3"
0,3.16836213133849,0.448,0.051,0,"1","6330411D24Rik"
0,3.09640880303217,0.453,0.091,0,"1","Klhl1"
0,3.04462292429663,0.38,0.054,0,"1","Tmem255a"
0,2.83561212353174,0.372,0.053,0,"1","Gm45341"
0,2.81121319975193,0.252,0.042,0,"1","Scml4"
0,7.03331530600611,0.606,0.008,0,"2","Sh3rf2"
0,6.27851182310046,0.428,0.018,0,"2","Drd2"
0,5.72376504249357,0.337,0.007,0,"2","Adora2a"
0,5.51646308281545,0.953,0.071,0,"2","Rgs9"
0,5.47743604696662,0.99,0.117,0,"2","Rarb"
0,5.03515364446647,0.821,0.047,0,"2","Gpr88"
0,5.00394143312076,0.498,0.056,0,"2","Penk"
0,4.85864029299181,0.524,0.024,0,"2","Scn4b"
0,4.84545579427276,0.405,0.015,0,"2","Syndig1l"
0,4.65019883898297,0.92,0.125,0,"2","Gm10754"
0,7.13218139757656,0.288,0.003,0,"3","C030018K13Rik"
0,6.38945806645759,0.395,0.007,0,"3","Gm35552"
0,5.67399507025612,0.553,0.021,0,"3","Gldc"
0,5.12053749278996,0.508,0.023,0,"3","Grin2c"
0,4.99261667829803,0.259,0.013,0,"3","Chrdl1"
0,4.9705581193737,0.3,0.012,0,"3","Pdzph1"
0,4.9584866043418,0.306,0.011,0,"3","Cyp4f15"
0,4.94866998127636,0.254,0.012,0,"3","Dio2"
0,4.90956234526058,0.704,0.042,0,"3","Mfge8"
0,4.88330404079294,0.423,0.021,0,"3","Celrr"
0,4.66508200147716,0.984,0.175,0,"4","Ptgds"
0,3.28668720495383,0.329,0.068,0,"4","Cryab"
0,3.17189829765878,0.781,0.131,0,"4","Mag"
0,3.15025963931786,0.678,0.121,0,"4","Mal"
0,3.11130572542933,0.584,0.14,0,"4","Cnp"
0,3.0929506592913,0.766,0.135,0,"4","Apod"
0,3.04682298654818,0.445,0.073,0,"4","Opalin"
0,3.03883786999809,0.881,0.177,0,"4","Trf"
2.33410348096622e-315,2.98405242749793,0.274,0.056,6.02338744298142e-311,"4","Tnfaip6"
0,2.94385939187113,0.562,0.113,0,"4","1700047M11Rik"
0,3.74933209928443,0.326,0.024,0,"5","Igfn1"
0,3.74609113268085,0.349,0.04,0,"5","Gm765"
0,3.43181264588778,0.55,0.062,0,"5","Gm48530"
0,3.06959384526259,0.573,0.071,0,"5","Ccbe1"
0,2.97456317600411,0.895,0.222,0,"5","Nectin3"
0,2.96882772852277,0.655,0.098,0,"5","Lamp5"
0,2.924907341637,0.276,0.038,0,"5","Gm20063"
0,2.83764654959574,0.567,0.106,0,"5","Trpc6"
0,2.81131347882763,0.935,0.205,0,"5","Pdzrn3"
0,2.7802198418439,0.791,0.142,0,"5","Pparg"
0,7.34793758793602,0.37,0.005,0,"6","Cd33"
0,7.33968181086309,0.265,0.004,0,"6","P2ry6"
